segmento,estado_venda,nome_bem,endereco_mestre,distrito,proprietario,tipo_zepec,esfera,m2_ja_transferido,pcpt_m2,saldo_pcpt_m2,preco_legal_ref_brl,preco_proxy_brl,zona,ca_basico,fi_aplicado,regime_pcpt,qualidade_estimativa,area_terreno_m2,v_outorga_m2_q14,v_outorga_max_q14,pendencia_calculo,status_fundurb,intercorrencia_fundurb,data_ref,sql_mestre
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Conjunto Residencial No Bairro do Belém / Vila Boyes,"Rua Caruapanã, 25",Belém,,tombado,municipal,,64.80,64.80,39115.23,101858.47,ZM,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,54,1571.89,2414.52,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$2414.52/m² (face atual: R$1571.89/m²)",,,2019-04-10,1960180085
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Conjunto Residencial No Bairro do Belém / Vila Boyes,"Rua Intendência, 138",Belém,,tombado,municipal,,64.80,64.80,39115.23,132057.22,ZM,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,54,2037.92,2414.52,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$2414.52/m² (face atual: R$2037.92/m²)",,,2019-04-10,1960180119
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Conjunto Residencial No Bairro do Belém / Vila Boyes,"Rua Caruapanã, 39",Belém,,tombado,municipal,,68.40,68.40,41288.29,107517.28,ZM,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,57,1571.89,2414.52,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$2414.52/m² (face atual: R$1571.89/m²)",,,2019-04-10,1960180078
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Conjunto Residencial No Bairro do Belém / Vila Boyes,"Rua Intendência, 66",Belém,,tombado,municipal,,68.40,68.40,41288.29,139393.73,ZM,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,57,2037.92,2414.52,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$2414.52/m² (face atual: R$2037.92/m²)",,,2019-04-10,1960180107
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Conjunto Residencial No Bairro do Belém / Vila Boyes,"Rua Caruapanã, 15",Belém,,tombado,municipal,,68.40,68.40,41288.29,107517.28,ZM,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,57,1571.89,2414.52,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$2414.52/m² (face atual: R$1571.89/m²)",,,2019-04-10,1960180090
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Conjunto Residencial No Bairro do Belém / Vila Boyes,"Rua Caruapanã, 18",Belém,,tombado,municipal,,,,,,,,,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,54,1571.89,2414.52,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$2414.52/m² (face atual: R$1571.89/m²) | Zona: lote sem sobreposição (sem SQL / lote / fora de zona)",,,2019-04-10,1960180016
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Conjunto Residencial No Bairro do Belém / Vila Boyes,"Rua Caruapanã, 26",Belém,,tombado,municipal,,68.40,68.40,41288.29,107517.28,ZM,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,57,1571.89,2414.52,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$2414.52/m² (face atual: R$1571.89/m²)",,,2019-04-10,1960180054
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Conjunto Residencial No Bairro do Belém / Vila Boyes,"Rua Caruapanã, 28",Belém,,tombado,municipal,,64.80,64.80,39115.23,101858.47,ZM,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,54,1571.89,2414.52,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$2414.52/m² (face atual: R$1571.89/m²)",,,2019-04-10,1960180055
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Conjunto Residencial No Bairro do Belém / Vila Boyes,"Rua do Curimã, 6",Belém,,tombado,municipal,,64.80,64.80,39115.23,101858.47,ZM,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,54,1571.89,2414.52,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$2414.52/m² (face atual: R$1571.89/m²)",,,2019-04-10,1960180020
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Conjunto Residencial No Bairro do Belém / Vila Boyes,"Rua Caruapanã, 17",Belém,,tombado,municipal,,68.40,68.40,41288.29,107517.28,ZM,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,57,1571.89,2414.52,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$2414.52/m² (face atual: R$1571.89/m²)",,,2019-04-10,1960180089
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Conjunto Residencial No Bairro do Belém / Vila Boyes,"Rua Intendência, 78",Belém,,tombado,municipal,,64.80,64.80,39115.23,132057.22,ZM,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,54,2037.92,2414.52,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$2414.52/m² (face atual: R$2037.92/m²)",,,2019-04-10,1960180108
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Conjunto Residencial No Bairro do Belém / Vila Boyes,"Rua do Curimã, 4",Belém,,tombado,municipal,,64.80,64.80,39115.23,101858.47,ZM,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,54,1571.89,2414.52,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$2414.52/m² (face atual: R$1571.89/m²)",,,2019-04-10,1960180019
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Conjunto Residencial No Bairro do Belém / Vila Boyes,"Rua do Curimã, 2",Belém,,tombado,municipal,,66.00,66.00,39839.58,103744.74,ZM,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,55,1571.89,2414.52,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$2414.52/m² (face atual: R$1571.89/m²)",,,2019-04-10,1960180018
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Conjunto Residencial No Bairro do Belém / Vila Boyes,"Rua Intendência, 150",Belém,,tombado,municipal,,68.40,68.40,41288.29,139393.73,ZM,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,57,2037.92,2414.52,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$2414.52/m² (face atual: R$2037.92/m²)",,,2019-04-10,1960180121
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Conjunto Residencial No Bairro do Belém / Vila Boyes,"Rua Intendência, 114",Belém,,tombado,municipal,,68.40,68.40,41288.29,139393.73,ZM,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,57,2037.92,2414.52,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$2414.52/m² (face atual: R$2037.92/m²)",,,2019-04-10,1960180115
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Conjunto Residencial No Bairro do Belém / Vila Boyes,"Rua Caruapanã, 8",Belém,,tombado,municipal,,84.00,84.00,50704.92,132038.76,ZM,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,70,1571.89,2414.52,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$2414.52/m² (face atual: R$1571.89/m²)",,,2019-04-10,1960180011
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Conjunto Residencial No Bairro do Belém / Vila Boyes,"Rua Intendência, 90",Belém,,tombado,municipal,,68.40,68.40,41288.29,139393.73,ZM,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,57,2037.92,2414.52,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$2414.52/m² (face atual: R$2037.92/m²)",,,2019-04-10,1960180111
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Conjunto Residencial No Bairro do Belém / Vila Boyes,"Rua Caruapanã, 21",Belém,,tombado,municipal,,68.40,68.40,41288.29,107517.28,ZM,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,57,1571.89,2414.52,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$2414.52/m² (face atual: R$1571.89/m²)",,,2019-04-10,1960180087
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Conjunto Residencial No Bairro do Belém / Vila Boyes,"Rua Intendência, 42",Belém,,tombado,municipal,,64.80,64.80,39115.23,132057.22,ZM,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,54,2037.92,2414.52,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$2414.52/m² (face atual: R$2037.92/m²)",,,2019-04-10,1960180103
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Conjunto Residencial No Bairro do Belém / Vila Boyes,"Avenida Celso Garcia, 1821",Belém,,tombado,municipal,,130.80,130.80,78954.81,315819.22,ZEUP,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,109,2414.52,2414.52,OK (Atc+CAbás+V) — cálculo completo,,,2019-04-10,1960180099
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Conjunto Residencial No Bairro do Belém / Vila Boyes,"Rua Caruapanã, 6",Belém,,tombado,municipal,,81.60,81.60,49256.21,128266.22,ZM,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,68,1571.89,2414.52,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$2414.52/m² (face atual: R$1571.89/m²)",,,2019-04-10,1960180010
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Conjunto Residencial No Bairro do Belém / Vila Boyes,"Rua Caruapanã, 43",Belém,,tombado,municipal,,68.40,68.40,41288.29,107517.28,ZM,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,57,1571.89,2414.52,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$2414.52/m² (face atual: R$1571.89/m²)",,,2019-04-10,1960180076
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Conjunto Residencial No Bairro do Belém / Vila Boyes,"Rua Caruapanã, 47",Belém,,tombado,municipal,,64.80,64.80,39115.23,101858.47,ZM,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,54,1571.89,2414.52,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$2414.52/m² (face atual: R$1571.89/m²)",,,2019-04-10,1960180074
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Conjunto Residencial No Bairro do Belém / Vila Boyes,"Rua Intendência, 172",Belém,,tombado,municipal,,64.80,64.80,39115.23,132057.22,ZM,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,54,2037.92,2414.52,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$2414.52/m² (face atual: R$2037.92/m²)",,,2019-04-10,1960180125
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Conjunto Residencial No Bairro do Belém / Vila Boyes,"Rua Caruapanã, 19",Belém,,tombado,municipal,,68.40,68.40,41288.29,107517.28,ZM,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,57,1571.89,2414.52,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$2414.52/m² (face atual: R$1571.89/m²)",,,2019-04-10,1960180088
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Conjunto Residencial No Bairro do Belém / Vila Boyes,"Rua Intendência, 100",Belém,,tombado,municipal,,68.40,68.40,41288.29,139393.73,ZM,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,57,2037.92,2414.52,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$2414.52/m² (face atual: R$2037.92/m²)",,,2019-04-10,1960180112
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Conjunto Residencial No Bairro do Belém / Vila Boyes,"Avenida Celso Garcia, 1807",Belém,,tombado,municipal,,144.00,144.00,86922.72,347690.88,ZEUP,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,120,2414.52,2414.52,OK (Atc+CAbás+V) — cálculo completo,,,2019-04-10,1960180100
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Conjunto Residencial No Bairro do Belém / Vila Boyes,"Rua Intendência, 160",Belém,,tombado,municipal,,64.80,64.80,39115.23,132057.22,ZM,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,54,2037.92,2414.52,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$2414.52/m² (face atual: R$2037.92/m²)",,,2019-04-10,1960180122
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Conjunto Residencial No Bairro do Belém / Vila Boyes,"Rua Caruapanã, 45",Belém,,tombado,municipal,,70.80,70.80,42737.01,111289.81,ZM,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,59,1571.89,2414.52,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$2414.52/m² (face atual: R$1571.89/m²)",,,2019-04-10,1960180075
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Conjunto Residencial No Bairro do Belém / Vila Boyes,"Rua Intendência, 88",Belém,,tombado,municipal,,68.40,68.40,41288.29,139393.73,ZM,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,57,2037.92,2414.52,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$2414.52/m² (face atual: R$2037.92/m²)",,,2019-04-10,1960180110
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Conjunto Residencial No Bairro do Belém / Vila Boyes,"Rua Intendência, 126",Belém,,tombado,municipal,,68.40,68.40,41288.29,139393.73,ZM,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,57,2037.92,2414.52,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$2414.52/m² (face atual: R$2037.92/m²)",,,2019-04-10,1960180117
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Conjunto Residencial No Bairro do Belém / Vila Boyes,"Rua Caruapanã, 35",Belém,,tombado,municipal,,68.40,68.40,41288.29,107517.28,ZM,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,57,1571.89,2414.52,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$2414.52/m² (face atual: R$1571.89/m²)",,,2019-04-10,1960180080
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Conjunto Residencial No Bairro do Belém / Vila Boyes,"Rua do Curimã, 15",Belém,,tombado,municipal,,,,,,,,,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,54,1571.89,2414.52,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$2414.52/m² (face atual: R$1571.89/m²) | Zona: lote sem sobreposição (sem SQL / lote / fora de zona)",,,2019-04-10,1960180044
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Conjunto Residencial No Bairro do Belém / Vila Boyes,"Rua do Curimã, 11",Belém,,tombado,municipal,,,,,,,,,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,54,1571.89,2414.52,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$2414.52/m² (face atual: R$1571.89/m²) | Zona: lote sem sobreposição (sem SQL / lote / fora de zona)",,,2019-04-10,1960180046
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Conjunto Residencial No Bairro do Belém / Vila Boyes,"Rua Caruapanã, 36",Belém,,tombado,municipal,,68.40,68.40,41288.29,107517.28,ZM,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,57,1571.89,2414.52,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$2414.52/m² (face atual: R$1571.89/m²)",,,2019-04-10,1960180059
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Conjunto Residencial No Bairro do Belém / Vila Boyes,"Rua Caruapanã, 11",Belém,,tombado,municipal,,68.40,68.40,41288.29,107517.28,ZM,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,57,1571.89,2414.52,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$2414.52/m² (face atual: R$1571.89/m²)",,,2019-04-10,1960180092
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Conjunto Residencial No Bairro do Belém / Vila Boyes,"Rua Intendência, 64",Belém,,tombado,municipal,,64.80,64.80,39115.23,132057.22,ZM,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,54,2037.92,2414.52,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$2414.52/m² (face atual: R$2037.92/m²)",,,2019-04-10,1960180106
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Conjunto Residencial No Bairro do Belém / Vila Boyes,"Rua Caruapanã, 29",Belém,,tombado,municipal,,68.40,68.40,41288.29,107517.28,ZM,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,57,1571.89,2414.52,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$2414.52/m² (face atual: R$1571.89/m²)",,,2019-04-10,1960180083
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Conjunto Residencial No Bairro do Belém / Vila Boyes,"Rua do Curimã, 7",Belém,,tombado,municipal,,,,,,,,,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,57,1571.89,2414.52,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$2414.52/m² (face atual: R$1571.89/m²) | Zona: lote sem sobreposição (sem SQL / lote / fora de zona)",,,2019-04-10,1960180048
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Conjunto Residencial No Bairro do Belém / Vila Boyes,"Rua Intendência, 52",Belém,,tombado,municipal,,68.40,68.40,41288.29,139393.73,ZM,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,57,2037.92,2414.52,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$2414.52/m² (face atual: R$2037.92/m²)",,,2019-04-10,1960180104
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Conjunto Residencial No Bairro do Belém / Vila Boyes,"Rua Intendência, 162",Belém,,tombado,municipal,,64.80,64.80,39115.23,132057.22,ZM,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,54,2037.92,2414.52,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$2414.52/m² (face atual: R$2037.92/m²)",,,2019-04-10,1960180123
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Conjunto Residencial No Bairro do Belém / Vila Boyes,"Rua Intendência, 80",Belém,,tombado,municipal,,68.40,68.40,41288.29,139393.73,ZM,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,57,2037.92,2414.52,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$2414.52/m² (face atual: R$2037.92/m²)",,,2019-04-10,1960180109
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Conjunto Residencial No Bairro do Belém / Vila Boyes,"Rua Curimã, 12",Belém,,tombado,municipal,,64.80,64.80,39115.23,101858.47,ZM,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,54,1571.89,2414.52,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$2414.52/m² (face atual: R$1571.89/m²)",,,2019-04-10,1960180023
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Conjunto Residencial No Bairro do Belém / Vila Boyes,"Rua Caruapanã, 12",Belém,,tombado,municipal,,96.00,96.00,57948.48,150901.44,ZM,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,80,1571.89,2414.52,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$2414.52/m² (face atual: R$1571.89/m²)",,,2019-04-10,1960180013
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Conjunto Residencial No Bairro do Belém / Vila Boyes,"Rua do Curimã, 3",Belém,,tombado,municipal,,,,,,,,,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,54,1571.89,2414.52,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$2414.52/m² (face atual: R$1571.89/m²) | Zona: lote sem sobreposição (sem SQL / lote / fora de zona)",,,2019-04-10,1960180050
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Conjunto Residencial No Bairro do Belém / Vila Boyes,"Rua Caruapanã, 31",Belém,,tombado,municipal,,68.40,68.40,41288.29,107517.28,ZM,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,57,1571.89,2414.52,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$2414.52/m² (face atual: R$1571.89/m²)",,,2019-04-10,1960180082
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Conjunto Residencial No Bairro do Belém / Vila Boyes,"Rua Caruapanã, 20",Belém,,tombado,municipal,,,,,,,,,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,80,1571.89,2414.52,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$2414.52/m² (face atual: R$1571.89/m²) | Zona: lote sem sobreposição (sem SQL / lote / fora de zona)",,,2019-04-10,1960180017
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Conjunto Residencial No Bairro do Belém / Vila Boyes,"Rua do Curimã, 5",Belém,,tombado,municipal,,,,,,,,,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,57,1571.89,2414.52,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$2414.52/m² (face atual: R$1571.89/m²) | Zona: lote sem sobreposição (sem SQL / lote / fora de zona)",,,2019-04-10,1960180049
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Conjunto Residencial No Bairro do Belém / Vila Boyes,"Rua do Curimã, 16",Belém,,tombado,municipal,,73.20,73.20,44185.72,115062.35,ZM,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,61,1571.89,2414.52,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$2414.52/m² (face atual: R$1571.89/m²)",,,2019-04-10,1960180025
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Conjunto Residencial No Bairro do Belém / Vila Boyes,"Rua do Curimã, 18",Belém,,tombado,municipal,,75.60,75.60,45634.43,118834.88,ZM,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,63,1571.89,2414.52,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$2414.52/m² (face atual: R$1571.89/m²)",,,2019-04-10,1960180026
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Conjunto Residencial No Bairro do Belém / Vila Boyes,"Avenida Celso Garcia, 1827",Belém,,tombado,municipal,,151.20,151.20,91268.86,365075.42,ZEUP,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,126,2414.52,2414.52,OK (Atc+CAbás+V) — cálculo completo,,,2019-04-10,1960180098
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Conjunto Residencial No Bairro do Belém / Vila Boyes,"Rua do Curimã, 19",Belém,,tombado,municipal,,,,,,,,,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,60,1571.89,2414.52,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$2414.52/m² (face atual: R$1571.89/m²) | Zona: lote sem sobreposição (sem SQL / lote / fora de zona)",,,2019-04-10,1960180042
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Conjunto Residencial No Bairro do Belém / Vila Boyes,"Rua Caruapanã, 40",Belém,,tombado,municipal,,64.80,64.80,39115.23,101858.47,ZM,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,54,1571.89,2414.52,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$2414.52/m² (face atual: R$1571.89/m²)",,,2019-04-10,1960180061
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Conjunto Residencial No Bairro do Belém / Vila Boyes,"Avenida Celso Garcia, 1835, 1837",Belém,,tombado,municipal,,204.00,204.00,123140.52,492562.08,ZEUP,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,170,2414.52,2414.52,OK (Atc+CAbás+V) — cálculo completo,,,2019-04-10,1960180007
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Conjunto Residencial No Bairro do Belém / Vila Boyes,"Rua Caruapanã, 13",Belém,,tombado,municipal,,64.80,64.80,39115.23,101858.47,ZM,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,54,1571.89,2414.52,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$2414.52/m² (face atual: R$1571.89/m²)",,,2019-04-10,1960180091
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Conjunto Residencial No Bairro do Belém / Vila Boyes,"Rua Caruapanã, 41",Belém,,tombado,municipal,,68.40,68.40,41288.29,107517.28,ZM,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,57,1571.89,2414.52,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$2414.52/m² (face atual: R$1571.89/m²)",,,2019-04-10,1960180077
